exp_nb,cell_id,date,protocol,prot-opt,tp,comments,file_path,file_name
1,C1,2024-03-15,IC,steps,23.0,,03.15/C1/2024_03_15_0000 IC steps 23.abf,2024_03_15_0000 IC steps 23.abf
2,C1,2024-03-15,IC,ramp,23.0,,03.15/C1/2024_03_15_0001 IC ramp 23.abf,2024_03_15_0001 IC ramp 23.abf
3,C1,2024-03-15,IC,sin,23.0,,03.15/C1/2024_03_15_0002 IC sin 23.abf,2024_03_15_0002 IC sin 23.abf
4,C1,2024-03-15,VC,ramp,23.0,,03.15/C1/2024_03_15_0003 VC ramp 23.abf,2024_03_15_0003 VC ramp 23.abf
5,C1,2024-03-15,IC,ramp,25.0,,03.15/C1/2024_03_15_0004 IC ramp 25.abf,2024_03_15_0004 IC ramp 25.abf
6,C1,2024-03-15,IC,sin,25.0,,03.15/C1/2024_03_15_0005 IC sin 25.abf,2024_03_15_0005 IC sin 25.abf
7,C1,2024-03-15,VC,ramp,25.0,,03.15/C1/2024_03_15_0006 VC ramp 25.abf,2024_03_15_0006 VC ramp 25.abf
8,C1,2024-03-15,IC,ramp,27.0,,03.15/C1/2024_03_15_0007 IC ramp 27.abf,2024_03_15_0007 IC ramp 27.abf
9,C1,2024-03-15,IC,sin,27.0,,03.15/C1/2024_03_15_0008 IC sin 27.abf,2024_03_15_0008 IC sin 27.abf
10,C1,2024-03-15,VC,ramp,27.0,,03.15/C1/2024_03_15_0009 VC ramp 27.abf,2024_03_15_0009 VC ramp 27.abf
11,C1,2024-03-15,IC,ramp,29.0,,03.15/C1/2024_03_15_0010 IC ramp 29.abf,2024_03_15_0010 IC ramp 29.abf
12,C1,2024-03-15,IC,sin,29.0,,03.15/C1/2024_03_15_0011 IC sin 29.abf,2024_03_15_0011 IC sin 29.abf
13,C1,2024-03-15,VC,ramp,29.0,,03.15/C1/2024_03_15_0012 VC ramp 29.abf,2024_03_15_0012 VC ramp 29.abf
14,C1,2024-03-15,IC,ramp,31.0,,03.15/C1/2024_03_15_0013 IC ramp 31.abf,2024_03_15_0013 IC ramp 31.abf
15,C1,2024-03-15,IC,sin,31.0,,03.15/C1/2024_03_15_0014 IC sin 31.abf,2024_03_15_0014 IC sin 31.abf
16,C1,2024-03-15,VC,ramp,31.0,,03.15/C1/2024_03_15_0015 VC ramp 31.abf,2024_03_15_0015 VC ramp 31.abf
17,C1,2024-03-15,IC,ramp,34.0,,03.15/C1/2024_03_15_0016 IC ramp 34.abf,2024_03_15_0016 IC ramp 34.abf
18,C1,2024-03-15,IC,sin,34.0,,03.15/C1/2024_03_15_0017 IC sin 34.abf,2024_03_15_0017 IC sin 34.abf
19,C1,2024-03-15,IC,steps,34.0,,03.15/C1/2024_03_15_0018 IC steps 34.abf,2024_03_15_0018 IC steps 34.abf
20,C1,2024-03-15,VC,ramp,34.0,,03.15/C1/2024_03_15_0019 VC ramp 34.abf,2024_03_15_0019 VC ramp 34.abf
21,C1,2024-03-15,IC,ramp,36.0,,03.15/C1/2024_03_15_0020 IC ramp 36.abf,2024_03_15_0020 IC ramp 36.abf
22,C1,2024-03-15,IC,sin,36.0,,03.15/C1/2024_03_15_0021 IC sin 36.abf,2024_03_15_0021 IC sin 36.abf
23,C1,2024-03-15,VC,ramp,36.0,,03.15/C1/2024_03_15_0022 VC ramp 36.abf,2024_03_15_0022 VC ramp 36.abf
24,C1,2024-03-15,IC,ramp,38.0,,03.15/C1/2024_03_15_0023 IC ramp 38.abf,2024_03_15_0023 IC ramp 38.abf
25,C1,2024-03-15,IC,sin,38.0,,03.15/C1/2024_03_15_0024 IC sin 38.abf,2024_03_15_0024 IC sin 38.abf
26,C1,2024-03-15,IC,sin,,(2),03.15/C1/2024_03_15_0025 IC sin 38 (2).abf,2024_03_15_0025 IC sin 38 (2).abf
27,C1,2024-03-15,VC,ramp,38.0,,03.15/C1/2024_03_15_0026 VC ramp 38.abf,2024_03_15_0026 VC ramp 38.abf
28,C1,2024-03-15,IC,ramp,40.0,,03.15/C1/2024_03_15_0027 IC ramp 40.abf,2024_03_15_0027 IC ramp 40.abf
29,C1,2024-03-15,IC,sin,40.0,,03.15/C1/2024_03_15_0028 IC sin 40.abf,2024_03_15_0028 IC sin 40.abf
30,C1,2024-03-15,VC,ramp,40.0,,03.15/C1/2024_03_15_0029 VC ramp 40.abf,2024_03_15_0029 VC ramp 40.abf
31,C1,2024-03-15,IC,ramp,42.0,,03.15/C1/2024_03_15_0030 IC ramp 42.abf,2024_03_15_0030 IC ramp 42.abf
32,C1,2024-03-15,IC,sin,42.0,,03.15/C1/2024_03_15_0031 IC sin 42.abf,2024_03_15_0031 IC sin 42.abf
33,C1,2024-03-15,VC,ramp,42.0,,03.15/C1/2024_03_15_0032 VC ramp 42.abf,2024_03_15_0032 VC ramp 42.abf
34,C1,2024-03-15,IC,ramp,44.0,,03.15/C1/2024_03_15_0033 IC ramp 44.abf,2024_03_15_0033 IC ramp 44.abf
35,C1,2024-03-15,IC,sin,44.0,,03.15/C1/2024_03_15_0034 IC sin 44.abf,2024_03_15_0034 IC sin 44.abf
36,C1,2024-03-15,VC,ramp,44.0,,03.15/C1/2024_03_15_0035 VC ramp 44.abf,2024_03_15_0035 VC ramp 44.abf
37,C2,2024-03-15,IC,steps,23.0,,03.15/C2/2024_03_15_0036 IC steps 23.abf,2024_03_15_0036 IC steps 23.abf
38,C2,2024-03-15,IC,ramp,23.0,,03.15/C2/2024_03_15_0037 IC ramp 23.abf,2024_03_15_0037 IC ramp 23.abf
39,C2,2024-03-15,IC,sin,23.0,,03.15/C2/2024_03_15_0038 IC sin 23.abf,2024_03_15_0038 IC sin 23.abf
40,C2,2024-03-15,VC,ramp,23.0,,03.15/C2/2024_03_15_0039 VC ramp 23.abf,2024_03_15_0039 VC ramp 23.abf
41,C2,2024-03-15,VC,ramp,,(2),03.15/C2/2024_03_15_0040 VC ramp 23 (2).abf,2024_03_15_0040 VC ramp 23 (2).abf
