cell_id,date,experiment_number,protocol,protocol_option,temperature,comments,file_path,file_name
C1,2024-03-15,0000,IC,steps,,23abf,03.15/C1/2024_03_15_0000 IC steps 23.abf,2024_03_15_0000 IC steps 23.abf
C1,2024-03-15,0001,IC,ramp,,23abf,03.15/C1/2024_03_15_0001 IC ramp 23.abf,2024_03_15_0001 IC ramp 23.abf
C1,2024-03-15,0002,IC,sin,,23abf,03.15/C1/2024_03_15_0002 IC sin 23.abf,2024_03_15_0002 IC sin 23.abf
C1,2024-03-15,0003,VC,ramp,,23abf,03.15/C1/2024_03_15_0003 VC ramp 23.abf,2024_03_15_0003 VC ramp 23.abf
C1,2024-03-15,0004,IC,ramp,,25abf,03.15/C1/2024_03_15_0004 IC ramp 25.abf,2024_03_15_0004 IC ramp 25.abf
C1,2024-03-15,0005,IC,sin,,25abf,03.15/C1/2024_03_15_0005 IC sin 25.abf,2024_03_15_0005 IC sin 25.abf
C1,2024-03-15,0006,VC,ramp,,25abf,03.15/C1/2024_03_15_0006 VC ramp 25.abf,2024_03_15_0006 VC ramp 25.abf
C1,2024-03-15,0007,IC,ramp,,27abf,03.15/C1/2024_03_15_0007 IC ramp 27.abf,2024_03_15_0007 IC ramp 27.abf
C1,2024-03-15,0008,IC,sin,,27abf,03.15/C1/2024_03_15_0008 IC sin 27.abf,2024_03_15_0008 IC sin 27.abf
C1,2024-03-15,0009,VC,ramp,,27abf,03.15/C1/2024_03_15_0009 VC ramp 27.abf,2024_03_15_0009 VC ramp 27.abf
C1,2024-03-15,0010,IC,ramp,,29abf,03.15/C1/2024_03_15_0010 IC ramp 29.abf,2024_03_15_0010 IC ramp 29.abf
C1,2024-03-15,0011,IC,sin,,29abf,03.15/C1/2024_03_15_0011 IC sin 29.abf,2024_03_15_0011 IC sin 29.abf
C1,2024-03-15,0012,VC,ramp,,29abf,03.15/C1/2024_03_15_0012 VC ramp 29.abf,2024_03_15_0012 VC ramp 29.abf
C1,2024-03-15,0013,IC,ramp,,31abf,03.15/C1/2024_03_15_0013 IC ramp 31.abf,2024_03_15_0013 IC ramp 31.abf
C1,2024-03-15,0014,IC,sin,,31abf,03.15/C1/2024_03_15_0014 IC sin 31.abf,2024_03_15_0014 IC sin 31.abf
C1,2024-03-15,0015,VC,ramp,,31abf,03.15/C1/2024_03_15_0015 VC ramp 31.abf,2024_03_15_0015 VC ramp 31.abf
C1,2024-03-15,0016,IC,ramp,,34abf,03.15/C1/2024_03_15_0016 IC ramp 34.abf,2024_03_15_0016 IC ramp 34.abf
C1,2024-03-15,0017,IC,sin,,34abf,03.15/C1/2024_03_15_0017 IC sin 34.abf,2024_03_15_0017 IC sin 34.abf
C1,2024-03-15,0018,IC,steps,,34abf,03.15/C1/2024_03_15_0018 IC steps 34.abf,2024_03_15_0018 IC steps 34.abf
C1,2024-03-15,0019,VC,ramp,,34abf,03.15/C1/2024_03_15_0019 VC ramp 34.abf,2024_03_15_0019 VC ramp 34.abf
